x,y,ux,uy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333148e-01,0.000000000000000000e+00,1.580240635980676583e-06,5.550772500255540790e-07
6.666666666666666297e-01,0.000000000000000000e+00,3.112151270813277076e-06,5.854746958852795011e-07
1.000000000000000000e+00,0.000000000000000000e+00,4.691876301224013353e-06,5.776149681427702264e-07
0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333148e-01,4.000000000000000222e-01,1.447417565414599739e-06,-1.788943210114271313e-21
6.666666666666666297e-01,4.000000000000000222e-01,3.089533805948598064e-06,-4.584647549861382784e-21
1.000000000000000000e+00,4.000000000000000222e-01,4.689470080433766892e-06,-7.307642568584459699e-21
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333148e-01,8.000000000000000444e-01,1.580240635980679547e-06,-5.550772500255584201e-07
6.666666666666666297e-01,8.000000000000000444e-01,3.112151270813281311e-06,-5.854746958852891361e-07
1.000000000000000000e+00,8.000000000000000444e-01,4.691876301224017588e-06,-5.776149681427851553e-07
